time,oil,ore,uranium,diamonds,rivalium
2020-10-18 13:01:10,214,203,2247,1500000,150000
2020-10-18 13:11:23,214,203,2247,1500000,150000
2020-10-18 13:21:54,213,203,2247,1500000,149000
2020-10-18 13:32:07,216,203,2247,1500000,148900
2020-10-18 13:42:19,214,203,2244,1500000,148900
2020-10-18 13:52:30,214,202,2244,1500000,148000
2020-10-18 14:02:44,214,203,2244,1500000,149000
2020-10-18 14:12:56,213,203,2247,1500000,152000
2020-10-18 14:23:26,214,202,2247,1500000,152000
2020-10-18 14:33:38,219,203,2247,1500000,150000
2020-10-18 14:43:51,219,203,2247,1500000,149900
2020-10-18 14:54:03,218,203,2245,1500000,143900
2020-10-18 15:04:17,215,203,2245,1500000,149900
2020-10-18 15:14:31,214,204,2243,1500000,146000
2020-10-18 15:24:59,214,204,2243,1500000,145000
2020-10-18 15:35:11,219,205,2245,1500000,145999
2020-10-18 15:45:25,215,204,2245,1500000,145000
2020-10-18 15:55:37,215,202,2243,1500000,144999
2020-10-18 16:05:51,214,202,2243,1500000,144998
2020-10-18 16:16:04,209,204,2243,1495000,141000
2020-10-18 16:26:43,206,204,2243,1494000,143499
2020-10-18 16:36:57,207,201,2247,1494000,143489
2020-10-18 16:47:10,210,205,2246,1495000,143000
2020-10-18 16:57:24,220,206,2246,1495000,139999
2020-10-18 17:07:50,215,202,2246,1500000,139998
2020-10-18 17:18:01,205,202,2243,1498000,142000
2020-10-18 17:28:32,218,203,2242,1490000,141999
2020-10-18 17:38:44,209,204,2242,1500000,147999
2020-10-18 17:48:57,205,200,2239,1500000,149500
2020-10-18 17:59:09,209,200,2239,1480000,154000
2020-10-18 18:09:24,216,198,2236,1480000,149800
2020-10-18 18:16:05,210,199,2236,1480000,149800
2020-10-18 18:26:17,212,200,2234,1490000,149800
2020-10-18 18:36:29,218,202,2232,1480000,149799
2020-10-18 18:46:41,218,202,2231,1480000,149999
2020-10-18 18:56:54,214,204,2231,1500000,158000
2020-10-18 19:07:07,215,201,2231,1490000,156998
2020-10-18 20:11:51,216,202,2218,1490000,150000
2020-10-18 20:22:16,216,200,2216,1500000,150000
2020-10-18 20:32:30,222,203,2215,1490000,150000
2020-10-18 20:42:43,219,200,2215,1500000,149000
2020-10-18 20:52:55,216,199,2215,1498000,149000
2020-10-18 21:03:15,215,200,2215,1498000,149000
2020-10-18 22:39:11,217,200,2219,1495000,149900
2020-10-18 22:49:21,216,202,2215,1500000,147800
2020-10-18 22:59:32,216,201,2211,1500000,147870
2020-10-18 23:09:44,214,201,2203,1500000,146000
2020-10-18 23:19:55,216,200,2199,1500000,146000
2020-10-18 23:30:08,216,200,2194,1500000,143900
2020-10-18 23:40:37,217,201,2210,1500000,141000
2020-10-18 23:50:50,216,200,2205,1499000,147800
2020-10-19 00:01:03,220,202,2200,1490000,144000
2020-10-19 00:11:14,216,201,2197,1490000,148000
2020-10-19 00:21:26,218,200,2202,1490000,148000
2020-10-19 00:31:38,215,201,2199,1495000,149800
2020-10-19 00:42:06,218,201,2201,1494000,149798
2020-10-19 00:52:18,220,202,2201,1480000,150000
2020-10-19 01:12:41,223,199,2191,1480000,153000
2020-10-19 01:22:54,221,200,2187,1480000,152800
2020-10-19 01:33:07,224,200,2183,1492000,150000
2020-10-19 01:43:35,219,201,2179,1492000,150000
2020-10-19 01:53:47,214,201,2175,1490000,152800
2020-10-19 02:03:58,216,201,2172,1490000,153800
2020-10-19 02:14:11,216,203,2170,1490000,152998
2020-10-19 02:24:24,217,203,2100,1490000,148788
2020-10-19 02:34:36,213,202,2179,1480000,153000
2020-10-19 02:45:06,217,204,2180,1480000,149988
2020-10-19 02:59:42,217,204,2190,1490000,147985
2020-10-19 03:01:46,212,203,2190,1490000,147985
2020-10-19 03:12:01,218,204,2198,1490000,145000
2020-10-19 03:22:12,216,203,2209,1490000,148000
2020-10-19 03:32:24,210,202,2209,1490000,144999
2020-10-19 03:42:35,215,202,2217,1490000,144000
2020-10-19 03:52:46,216,202,2196,1485000,143999
2020-10-19 04:03:13,215,202,2179,1485000,150000
2020-10-19 04:13:25,216,201,2177,1490000,149998
2020-10-19 04:23:36,217,203,2169,1490000,149996
2020-10-19 04:33:48,215,203,2099,1490000,149995
2020-10-19 04:43:59,215,202,2220,1490000,152999
2020-10-19 04:54:11,214,202,2219,1490000,150000
2020-10-19 05:04:37,210,202,2218,1470000,149998
2020-10-19 05:16:28,214,201,2217,1489500,145000
2020-10-19 05:26:50,216,201,2220,1485000,142000
2020-10-19 05:37:01,217,200,2220,1485000,141000
2020-10-19 05:47:14,217,201,2218,1480000,143900
2020-10-19 05:57:28,215,201,2210,1479000,144000
2020-10-19 06:07:55,219,204,2199,1480000,150000
2020-10-19 06:18:07,215,204,2199,1439750,145000
2020-10-19 06:28:19,150,200,2198,1485000,143900
2020-10-19 06:38:31,217,204,2198,1480000,144900
2020-10-19 06:48:42,216,200,2198,1490000,144950
2020-10-19 06:58:54,215,200,2211,1480000,145000
2020-10-19 07:09:29,215,201,2211,1480000,144999
2020-10-19 07:19:40,212,203,2200,1480000,154000
2020-10-19 07:29:52,216,204,2218,1480000,153450
2020-10-19 07:40:04,214,204,2216,1444000,153000
2020-10-19 07:50:15,213,204,2217,1480000,152787
2020-10-19 08:00:27,213,204,2216,1480000,145000
2020-10-19 08:10:55,213,203,2215,1490000,145000
2020-10-19 08:21:08,213,204,2217,1488200,145000
