time,oil,ore,uranium,diamonds,helium-3,rivalium,tanks,aircrafts,missiles,bombers,laser drones
2020-12-16 13:54:01,247,231,2157,1500000,808290,116000,9982,59587,399989,604998,254998000
2020-12-16 14:07:26,247,240,2153,1500000,808290,116000,9980,59499,399989,604800,254998000
2020-12-16 14:17:21,250,240,2152,1499000,808290,117000,9986,59499,399989,604799,254998000
2020-12-16 14:27:16,250,240,2145,1400000,808290,117000,9986,59587,399989,604800,254998000
2020-12-16 14:37:12,247,240,2143,1400000,808290,117000,9987,59587,399989,604799,254998000
2020-12-16 14:42:44,247,240,2148,2148,808290,117000,9987,59587,399989,604799,254998000
2020-12-16 14:52:41,247,240,2146,1499000,808290,117000,9989,59587,399989,604799,254998000
2020-12-16 15:02:36,247,237,2144,1505000,807000,117000,9988,59587,399989,604799,254998000
2020-12-16 15:12:32,240,237,2140,1510000,807000,117000,9998,59587,399989,604799,254998000
2020-12-16 15:22:27,244,234,2137,1510000,806900,117000,9998,59587,399989,604799,254998000
2020-12-16 15:47:55,245,233,2124,1495000,806900,116995,9997,59587,399989,604799,254998000
2020-12-16 15:53:35,244,232,2123,1495000,806900,116995,9997,59587,399989,604799,254998000
2020-12-16 16:03:34,245,231,2121,1495000,806900,115000,9997,59587,399989,604799,254998000
2020-12-16 16:13:29,248,231,2118,1500000,806900,115555,9997,59587,399989,605000,254998000
2020-12-16 16:23:34,245,231,2116,1500000,806900,115550,9900,59550,399989,604999,254998000
2020-12-16 16:33:30,242,229,2099,1498500,806900,115550,10493,59588,399989,604999,254998000
2020-12-16 16:43:28,240,227,2097,1480000,806900,115550,10495,59587,399989,604999,254998000
2020-12-16 16:53:41,243,230,2110,1495000,800000,116999,10485,59578,399989,604999,252999000
2020-12-16 17:03:38,243,230,2108,1494000,808290,119000,10480,59575,399989,604995,252999000
2020-12-16 17:13:40,241,229,2106,1493990,807999,117000,10481,59575,399989,604999,252999000
2020-12-16 17:23:49,240,226,2104,1485000,807999,116999,10481,59574,399989,604999,252999000
2020-12-16 17:33:51,241,226,2117,1490000,806000,116995,10480,59574,399989,604999,252999000
2020-12-16 17:43:54,237,230,2122,1493980,805999,116995,10490,59574,399989,604999,252999000
2020-12-16 17:54:14,240,229,2119,1492560,805500,116995,10490,59574,399989,604999,252999000
2020-12-16 18:04:18,243,228,2116,1492560,805500,116900,10498,59574,399980,604998,252999000
2020-12-16 18:14:19,236,227,2113,1495000,806000,103000,10492,59590,399979,604997,252999000
2020-12-16 18:24:30,238,228,2111,1495000,807000,100500,10395,59500,399979,604900,252999000
2020-12-16 18:34:33,235,227,2099,1495000,807000,105000,10395,59500,399979,604899,252999000
2020-12-16 18:44:35,242,226,2069,1490000,807000,125000,10392,59400,399979,604899,253000000
2020-12-16 18:54:54,237,227,2069,1495000,804000,117000,9995,59590,399979,604899,254998000
2020-12-16 19:04:58,230,226,2065,1479000,804000,116999,9995,59599,399979,604900,254998000
2020-12-16 19:15:03,238,224,2064,1479000,803000,116990,9994,59599,399979,604899,254998000
2020-12-16 19:25:14,238,225,2099,1494000,802999,125000,10492,59994,399979,604997,255094000
2020-12-16 19:35:17,241,221,2097,1494000,802999,106000,10500,60500,399979,605000,255000000
2020-12-16 19:45:20,239,224,2094,1493000,802990,116999,10497,61000,395000,604999,255000000
2020-12-16 19:55:40,239,223,2092,1480000,802990,116000,10493,60999,394999,614974,255000000
2020-12-16 20:05:43,242,223,2088,1478480,802990,114999,10490,60998,394999,614973,255000000
2020-12-16 20:15:46,242,225,2085,1493000,802990,114999,10485,60995,394999,614970,254990000
2020-12-16 20:25:58,241,225,2083,1490000,802985,114999,10483,60995,394999,614970,254900000
2020-12-16 20:36:02,241,224,2069,1491000,802985,117000,10479,60994,394999,614950,254850000
2020-12-16 20:46:14,238,224,2060,1490000,800000,115000,10499,60994,395000,614975,254850000
2020-12-16 20:56:34,237,224,2063,1490000,802985,115000,10395,59800,394999,614890,254850000
2020-12-16 21:06:37,240,224,2062,1490000,802985,115000,10392,59799,394999,614874,254850000
2020-12-16 21:16:40,240,223,2060,1490000,799999,110000,10390,59994,394999,614870,254850000
2020-12-16 21:26:51,239,219,2000,1490000,798999,115000,10000,59994,394999,614889,254850000
2020-12-16 21:36:54,239,227,2019,1490000,799000,115000,10389,59993,394999,614889,253000000
2020-12-16 21:46:58,240,224,2049,1490000,799000,110000,10392,59995,394999,614889,255000000
2020-12-16 21:57:19,240,225,2087,1494000,798999,114000,10392,59994,394999,614889,255000000
2020-12-16 22:07:27,245,226,2089,1493990,799999,110000,10387,59993,394999,614889,255000000
2020-12-16 22:17:30,247,215,2097,1492000,799999,110000,10383,59990,394999,614900,255000000
2020-12-16 22:27:43,244,215,2094,1495000,799999,110000,10378,59990,394999,614898,255000000
2020-12-16 22:37:46,244,226,2092,1494000,799999,110000,10376,59993,394999,614895,255000000
2020-12-16 22:47:50,245,226,2088,1495000,799999,109999,10374,59992,394999,614898,255000000
2020-12-16 22:58:13,242,226,2068,1498490,795000,104999,10370,59992,394999,614898,255000000
2020-12-16 23:08:20,244,226,2066,1498490,794999,112998,10372,59992,394999,614899,255000000
2020-12-16 23:18:26,248,228,2116,1498490,802985,114999,10368,59991,394999,614898,254999000
2020-12-16 23:28:39,245,227,2123,1495500,802985,114300,10365,59995,394999,614895,254999000
2020-12-16 23:38:46,244,228,2120,1493990,802984,114200,10371,59994,394999,614974,254999000
2020-12-16 23:48:48,243,228,2120,1493990,802983,114999,10365,59994,394999,614970,254998000
2020-12-16 23:59:04,245,230,2109,1494990,800000,114997,10364,59994,394999,614959,254998000
2020-12-17 00:09:09,245,230,2097,1489990,801000,113999,10362,61000,394999,614959,254999000
2020-12-17 00:19:31,246,223,2089,1480000,801000,107999,10360,60999,394999,614959,254999000
2020-12-17 00:29:45,245,229,2087,1480000,790000,103999,9898,60995,394999,614954,254998000
2020-12-17 00:40:06,243,227,2095,1470000,790000,102000,9897,60993,394999,614953,254998000
2020-12-17 00:50:12,240,225,2089,1470000,802985,102000,9947,60994,394999,614953,254500000
2020-12-17 01:00:28,249,223,2087,1493000,807990,113999,5000,60990,394999,614954,254500000
2020-12-17 01:10:50,251,223,2086,1492990,807990,114000,9943,60989,395000,614960,254500000
2020-12-17 01:20:57,256,225,2084,1484990,807990,119998,9900,60899,395000,614960,254499000
2020-12-17 03:05:45,240,226,2019,1475000,799000,111000,9997,60889,399899,614968,254493000
2020-12-17 03:08:26,245,226,2099,1480000,798999,111000,9996,60700,399899,614967,254493000
2020-12-17 03:18:25,258,225,2098,1492220,794000,111000,9999,60700,399899,614967,254489000
2020-12-17 03:28:23,253,228,2135,1494000,805000,110999,9800,60699,399899,614965,253000000
2020-12-17 03:38:20,258,232,2133,1490490,804000,110999,9799,60699,399899,614964,253000000
2020-12-17 03:48:27,250,230,2129,1490490,804000,110999,9796,60698,399899,614964,253000000
2020-12-17 03:58:23,247,227,2119,1470000,780000,106000,9794,60696,399899,614964,253000000
2020-12-17 04:08:37,240,231,2117,1470000,780000,110000,9792,60695,399899,614695,253000000
2020-12-17 04:18:35,250,233,2114,1494000,803000,108000,9789,60693,399899,614964,253000000
2020-12-17 04:28:33,250,230,2113,1492220,800000,108000,6700,60000,399899,614964,254489000
2020-12-17 04:38:35,245,229,2128,1489000,800000,110000,10363,59999,399899,620975,254489000
2020-12-17 04:48:39,250,235,2125,1490000,804000,115000,10336,59997,399899,620979,254489000
2020-12-17 04:58:41,259,232,2123,1490000,803000,114000,10395,60695,399899,620979,254489000
2020-12-17 05:09:00,258,230,2121,1490000,804000,114000,10383,60644,399899,620895,254489000
2020-12-17 05:19:05,249,230,2100,1490000,804000,115000,10382,60643,399899,618892,253999000
2020-12-17 05:29:08,247,229,2079,1490000,804000,111111,10382,60643,399899,616890,253000000
2020-12-17 05:39:12,249,230,2075,1490000,807999,117000,10384,60646,399899,616890,252000000
2020-12-17 05:59:17,248,227,2096,1492220,806000,113000,10298,60649,399899,614799,250000000
2020-12-17 06:09:36,247,226,2050,1492220,806000,110000,10296,60700,399899,614799,250000000
2020-12-17 06:19:39,250,226,2096,1492000,805990,105000,10299,60000,399899,618891,250000000
2020-12-17 06:29:42,245,229,2089,1490000,805990,115000,10295,59997,399899,618890,250000000
2020-12-17 06:39:45,200,227,2066,1490000,805000,114444,9700,59995,399899,618890,250000000
2020-12-17 06:49:47,245,227,2088,1492000,805000,114000,9600,58000,399899,618890,253000000
2020-12-17 07:00:07,246,230,2087,1495000,804999,112000,9600,57999,399899,620899,251000000
